destination,season,activity,recommended_items,famous_places,recommended_apps,tips
toronto,spring,sightseeing,"comfortable shoes,umbrella,camera,light jacket","niagara falls,cn tower,royal ontario museum,distillery district,toronto island park","TTC app,Google Maps,TripAdvisor","buy transit pass,wear layers,book museums"
mexico city,autumn,cultural tour,"comfortable shoes,hat,camera,water bottle,sunscreen","zocalo,chapultepec castle,frida kahlo museum,churubusco park,angel of independence","Google Maps,Moovit,TripAdvisor","carry cash,drink bottled water,learn basic spanish"
miami,summer,beach,"swimsuit,sunscreen,sunglasses,hat,flip flops","south beach,lummus park,wynwood walls,bayside marketplace,jungle island","Google Maps,Citymapper,TripAdvisor","stay hydrated,use sunscreen,avoid midday sun"
vancouver,summer,hiking and sightseeing,"hiking boots,water bottle,jacket,camera,sunglasses","stanley park,grouse mountain,capilano suspension bridge,granville island,queen elizabeth park","Google Maps,AllTrails,TripAdvisor","carry water,start hikes early,check weather"
montreal,fall,cultural tour,"jacket,comfortable shoes,umbrella,camera","old montreal,mount royal park,notre dame basilica,biodome,picnic island","STM app,Google Maps,TripAdvisor","dress warmly,buy museum passes,try local food"
boston,spring,sightseeing,"comfortable shoes,camera,water bottle,light jacket","freedom trail,faneuil hall,boston common,new england aquarium,isabella stewart gardner museum","MBTA app,Google Maps,TripAdvisor","wear comfortable shoes,buy tickets early,carry water"
chicago,summer,sightseeing,"sunglasses,camera,hat,water bottle,comfortable shoes","millennium park,navy pier,willis tower,michigan avenue,art institute of chicago","CTA app,Google Maps,OpenTable","stay hydrated,book tours ahead,wear sunscreen"
rio de janeiro,summer,beach and sightseeing,"swimsuit,sunscreen,hat,camera,flip flops","copacabana beach,christ the redeemer,sugarloaf mountain,ipanema beach,brazilian museum","Google Maps,Rio Guide,Cultura Rio","stay hydrated,avoid crowded areas,apply sunscreen"
guadalajara,spring,cultural tour,"comfortable shoes,hat,camera,sunscreen,water bottle","teatro degollado,guadalajara cathedral,zoological park,antigua plaza,plaza tapatia","Google Maps,Moovit,TripAdvisor","wear comfortable shoes,use sunscreen,carry cash"
san francisco,summer,sightseeing,"jacket,comfortable shoes,camera,water bottle,tourist map","golden gate bridge,fisherman’s wharf,alcatraz island,chinatown,lombard street","Google Maps,Citymapper,SFMTA","carry jacket,book tours in advance,use public transport"
washington dc,autumn,sightseeing,"comfortable shoes,camera,umbrella,light jacket","national mall,smithsonian museums,lincoln memorial,us capitol,george washington monument","Metro app,Google Maps,OpenTable","buy metro cards,buy tickets early,carry water"
lima,summer,cultural tour,"comfortable shoes,sunscreen,hat,camera","plaza mayor,larcomar,museo larco,huaca pucllana,parque kennedy","Google Maps,Moovit,TripAdvisor","drink bottled water,carry cash,wear sunscreen"
calgary,summer,outdoor and sightseeing,"jacket,comfortable shoes,camera,water bottle,sunglasses","calgary zoo,banff national park,calgary tower,heritage park,fisher park","Calgary Transit app,Google Maps,TripAdvisor","carry water,check weather,start hikes early"
atlanta,fall,sightseeing,"comfortable shoes,jacket,camera,water bottle","georgia aquarium,piedmont park,martin luther king jr national historic site,coca-cola museum,high museum","MARTA app,Google Maps,OpenTable","wear layers,buy tickets early,carry water"
san diego,summer,beach and sightseeing,"swimsuit,sunscreen,hat,camera,flip flops","la jolla cove,san diego zoo,balboa park,coronado island,gaslamp quarter","Google Maps,MTS app,TripAdvisor","apply sunscreen,stay hydrated,book tours early"
montevideo,autumn,cultural and beach,"comfortable shoes,umbrella,camera,sunscreen","plaza independencia,mercado del puerto,museo blanes,montevideo old town,playa malvin","Google Maps,Movete,TripAdvisor","carry water,use sunscreen,wear comfortable shoes"
new orleans,autumn,cultural sightseeing,"comfortable shoes,hat,camera,water bottle","french quarter,jackson square,new orleans museum of art,bayonne swamp,treme neighborhood","Google Maps,Streetcar app,TripAdvisor","wear comfortable shoes,try local food,carry water"
ottawa,spring,sightseeing,"comfortable shoes,umbrella,water bottle,camera","parliament hill,rideau canal,national gallery,byward market,diefenbunker museum","OC Transpo,Google Maps,TripAdvisor","buy transit pass,buy tickets early,carry water"
nassau,summer,beach and sightseeing,"swimsuit,sunscreen,sunglasses,hat,flip flops","cable beach,blue lagoon island,paradise island,queen's staircase,clifton heritage national park","Google Maps,TripAdvisor,Nassau Transit","apply sunscreen,carry water,avoid midday sun"
guatemala city,winter,cultural tour,"comfortable shoes,hat,camera,sunscreen,water bottle","plaza mayor,museo nacional de arqueologia,central market,catedral metropolitana,lago de atitlan","Google Maps,TransMetro,TripAdvisor","carry cash,drink bottled water,wear sunscreen"
panama city,summer,sightseeing,"comfortable clothes,sunglasses,water bottle,camera","panama canal,casco viejo,biodiversity museum,amador causeway,metropolitan natural park","MiBus app,Google Maps,TripAdvisor","stay hydrated,carry cash,book tours early"
puerto rico,summer,beach and nature,"swimsuit,sunscreen,hat,camera,water bottle","el yunque rainforest,san juan fort,luquillo beach,old san juan,bioluminescent bay","Google Maps,TripAdvisor,Public transport guides","apply sunscreen,carry water,try local food"
buenos aires,autumn,cultural tour,"comfortable shoes,hat,camera,water bottle","la boca,recoleta cemetery,teatro colon,plaza de mayo,malba museum","Google Maps,Subte app,TripAdvisor","carry cash,wake early,sample local cuisine"
sao paulo,summer,cultural and urban,"comfortable shoes,umbrella,camera,water bottle","ibiraquera park,museum of art,pinacoteca,sao paulo cathedral,paulista avenue","SPTrans app,Google Maps,TripAdvisor","use public transport,stay hydrated,plan itinerary"
kingston,summer,cultural tour,"comfortable shoes,sunscreen,hat,camera","bob marley museum,devon house,downtown kingston,port royal,emancipation park","Google Maps,TripAdvisor,Kingston Transit","carry sunscreen,drink water,wear hat"
calgary,winter,winter sports,"warm clothes,boots,hat,camera,gloves","canmore,bow river,calgary tower,kananaskis country,heritage park","Calgary Transit app,Google Maps,TripAdvisor","dress warmly,carry emergency kit,buy tickets early"
mexico city,summer,cultural sightseeing,"light clothes,sunscreen,hat,camera","anthropology museum,zocalo,chapultepec park,tempel mayor,frida kahlo museum","Google Maps,Metro app,TripAdvisor","carry water,wear sunscreen,book tours"
tampa,summer,beach and family,"swimsuit,sunscreen,flip flops,hat,camera","busch gardens,clearwater beach,fort desoto park,ybor city,aquarium","Google Maps,TripAdvisor,City Bus App","apply sunscreen,hydrate often,wake early"
california coast,summer,road trip,"sunglasses,sunscreen,camera,navigation device,water bottle","big sur,santa cruz,monterey,carmel,malibu","Google Maps,Waze,TripAdvisor","plan stops,carry water,check traffic"
portland,summer,outdoor sightseeing,"comfortable shoes,sunscreen,hat,camera","washington park,oregon zoo,portland art museum,food trucks,international rose test garden","TriMet app,Google Maps,TripAdvisor","wear sunscreen,carry water,buy transit pass"
quito,autumn,cultural and hiking,"hiking boots,umbrella,umbrella,camera,water bottle","old town,mitad del mundo,panecillo hill,guapulo district,la ropa waterfall","Google Maps,Transporte Quito,TripAdvisor","carry water,wear layers,buy tickets early"
jackson hole,winter,skiing,"ski gear,warm clothes,gloves,hat,camera","jackson hole mountain,wildlife refuge,downtown jackson,grand teton national park,seven mile hill","Google Maps,Local Transit App,TripAdvisor","dress warmly,buy lift tickets early,carry emergency supplies"
nashville,spring,cultural and music,"comfortable shoes,camera,water bottle,sunscreen","grand ole opry,parthenon,centennial park,ryman auditorium,bluebird cafe","Google Maps,MTA Nashville,TripAdvisor","wear comfortable shoes,buy event tickets early,carry water"
salt lake city,winter,skiing and sightseeing,"ski gear,warm clothes,camera,hat,gloves","temple square,bryce canyon,zion national park,mount olympus,antelope island","UTA app,Google Maps,TripAdvisor","dress warmly,carry emergency kit,buy lift tickets"
caracas,summer,cultural tour,"light clothes,sunscreen,camera,hat,water bottle","avila national park,museo de arte,plaza bolivar,parque central,telescopio","Google Maps,Metro app,TripAdvisor","carry water,wear sunscreen,avoid unsafe areas"
halifax,summer,sightseeing and outdoor,"waterproof jacket,comfortable shoes,camera,hat,water bottle","citadel hill,pearl macmullen house,public gardens,maritime museum,halifax waterfront","Halifax Transit App,Google Maps,TripAdvisor","carry rain gear,book tours early,wear layers"
guayaquil,summer,river tours and culture,"light clothes,sunscreen,camera,hat,water bottle","malecon 2000,cerro santa ana,plaza majadas,malecon del salado,parque seminario","Google Maps,Transporte Guayaquil,TripAdvisor","carry sunscreen,drink bottled water,wear hat"
asheville,autumn,hiking and culture,"comfortable hiking boots,jacket,camera,water bottle","blue ridge parkway,biltmore estate,asheville art museum,riverside park,west african heritage center","Go AVL app,Google Maps,TripAdvisor","carry water,wear layers,plan ahead"
hartford,winter,sightseeing,"warm coat,camera,comfortable shoes,umbrella,gloves","mark twain house,wadsworth atheneum,connecticut science center,harriet beecher stowe center,riverfront plaza","CTTransit app,Google Maps,TripAdvisor","dress warmly,carry umbrella,book museums ahead"
san juan,summer,beach and historic,"swimsuit,sunscreen,sunglasses,hat,camera","old san juan,castillo san felipe,condado beach,el yunque,la fortaleza","Google Maps,TripAdvisor,Local Transit Guide","use sunscreen,hydra hydrate,wake early"
hartford,spring,sightseeing,"light jacket,comfortable shoes,camera,water bottle,umbrella","mark twain house,wadsworth atheneum,connecticut science center,harriet beecher stowe center,riverfront plaza","CTTransit app,Google Maps,TripAdvisor","wear layers,buy tickets early,carry umbrella"
detroit,summer,urban and cultural,"comfortable shoes,camera,water bottle,sunscreen","ford museum,detroit institute of arts,motown museum,belle isle park,greektown","DDOT app,Google Maps,TripAdvisor","stay hydrated,book tours early,wear sunscreen"
minneapolis,summer,outdoor and cultural,"comfortable shoes,camera,sunscreen,hat,water bottle","walker art center,minneapolis sculpture garden,minnesota zoo,target field,mall of america","Metro Transit app,Google Maps,TripAdvisor","wear sunscreen,carry water,buy public transit pass"
halifax,autumn,sightseeing,"light jacket,comfortable shoes,camera,water bottle","citadel hill,public gardens,maritime museum,alexander keith's brewery,halifax waterfront","Halifax Transit App,Google Maps,TripAdvisor","wear layers,carry water,book tours"
phoenix,summer,desert and sightseeing,"sunhat,sunscreen,water bottle,camera,sunglasses","desert botanical garden,camelback mountain,heard museum,roosevelt row,tempe town lake","Valley Metro App,Google Maps,TripAdvisor","stay hydrated,avoid midday sun,wake early"
san antonio,spring,cultural sightseeing,"comfortable shoes,camera,water bottle,hat","alamo,river walk,sansebastian plaza,museum reach,buckhorn saloon","VIA Metropolitan Transit,Google Maps,TripAdvisor","wear comfortable shoes,carry water,try local food"
salt lake city,summer,outdoor and urban,"comfortable shoes,sunscreen,hat,camera,water bottle","temple square,mountain view,liberty park,bryce canyon,state capitol","UTA app,Google Maps,TripAdvisor","carry water,use sunscreen,plan transportation"
winnipeg,summer,outdoor and cultural,"comfortable shoes,sunscreen,camera,water bottle","canadian museum for human rights,the forks,assiniboine park,warren park,manitoba museum","Winnipeg Transit App,Google Maps,TripAdvisor","carry sunscreen,plan itinerary,wear comfortable shoes"
monton,autumn,cultural and outdoor,"comfortable shoes,jacket,umbrella,camera","yellowstone,glacier national park,brewery district,fish creek provincial park,lichfield jewel","Google Maps,TripAdvisor","wear layers,carry water,book tours early"
miami,autumn,beach and urban,"swimsuit,sunscreen,hat,camera,flip flops","south beach,lummus park,wynwood walls,bayside marketplace,jungle island","Google Maps,Citymapper,TripAdvisor","apply sunscreen,stay hydrated,wear hat"
washington dc,summer,sightseeing,"comfortable shoes,camera,hat,water bottle,umbrella","national mall,lincoln memorial,smithsonian museums,us capitol,george washington monument","Metro app,Google Maps,OpenTable","buy metro cards,stay hydrated,buy tickets early"
portland,autumn,outdoor and cultural,"comfortable shoes,jacket,umbrella,camera,water bottle","washington park,international rose test garden,oregon zoo,food trucks,portland art museum","TriMet app,Google Maps,TripAdvisor","wear layers,carry water,check weather"
houston,summer,urban sightseeing,"comfortable clothes,sunscreen,camera,water bottle,hat","space center houston,houston museum of natural science,houston zoo,museum district,discovery green","METRO app,Google Maps,TripAdvisor","stay hydrated,use sunscreen,plan transport"
philadelphia,autumn,cultural and historical,"comfortable shoes,jacket,umbrella,camera,water bottle","liberty bell,independence hall,museum of art,reading terminal market,philadelphia zoo","SEPTA app,Google Maps,TripAdvisor","wear layers,buy tickets early,carry water"
atlanta,summer,museums and outdoor,"comfortable shoes,sunscreen,hat,camera,water bottle","georgia aquarium,centennial olympic park,martin luther king jr national historic site,coca-cola museum,high museum","MARTA app,Google Maps,TripAdvisor","apply sunscreen,stay hydrated,carry water"
las vegas,winter,entertainment,"comfortable clothes,camera,hat,water bottle","the strip,bellagio fountains,fremont street,mob museum,red rock canyon","RTC Transit,Google Maps,TripAdvisor","dress warmly at night,plan shows,carry water"
miami,autumn,beach and nightlife,"swimsuit,sunscreen,hat,flip flops,camera","south beach,wynwood walls,bayside marketplace,jungle island,art deco district","Citymapper,Google Maps,TripAdvisor","stay hydrated,use sunscreen,plan transport"
kathmandu,spring,cultural tour,"comfortable shoes,hat,camera,water bottle,sunscreen","boudhanath stupa,pashupatinath temple,thamel,durbar square,nagarkot","Google Maps,Pathao,TripAdvisor","carry water,wear sunscreen,buy local SIM"
pokhara,autumn,hiking and sightseeing,"hiking boots,jacket,camera,water bottle","phewa lake,devil's fall,annapurna base camp,dhampus village,peace stupa","Google Maps,TripAdvisor,Pathao","start hikes early,carry water,respsect local culture"
varanasi,spring,cultural tour,"comfortable shoes,sunscreen,hat,camera,water bottle","ghats of ganges,kashi vishwanath temple,dasarath ghat,assi ghat,sarnath","Google Maps,Uber,TripAdvisor","carry cash,wear comfortable shoes,be cautious near water"
delhi,autumn,sightseeing,"comfortable shoes,sunscreen,hat,camera,water bottle","qutub minar,india gate,lotus temple,red fort,humayun's tomb","Google Maps,Uber,TripAdvisor","carry water,use public transport,avoid peak hours"
mumbai,summer,urban sightseeing,"light clothes,sunscreen,camera,hat,water bottle","gateway of india,marine drive,elephanta caves,chhatrapati shivaji terminus,juhu beach","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,avoid crowded places"
islamabad,autumn,cultural sightseeing,"light jacket,comfortable shoes,camera,water bottle,umbrella","faisal mosque,daman-e-koh, Pakistan monument,Rawal lake,centaurus mall","Google Maps,Uber,Peshawar app","carry water,wear comfortable shoes,plan transport"
lahore,winter,cultural tour,"warm clothes,comfortable shoes,camera,water bottle,umbrella","badshahi mosque,lahore fort,shalimar gardens,wagah border,minar-e-pakistan","Google Maps,Careem,TripAdvisor","dress warmly,carry water,avoid peak hours"
pokhara,spring,hiking and nature,"hiking boots,jacket,camera,water bottle","annapurna base camp,phewa lake,devil's fall,sarangkot,peace stupa","Google Maps,TripAdvisor,Pathao","start hikes early,carry water,respect local traditions"
agra,autumn,tourism,"comfortable shoes,camera,water bottle,sunscreen,hat","taj mahal,agra fort,fatehpur sikri,mehtab bagh,itmad-ud-daulah's tomb","Google Maps,Ola,TripAdvisor","buy tickets in advance,carry water,wear sunscreen"
bikaner,summer,cultural sightseeing,"hat,sunscreen,comfortable shoes,camera,water bottle","junagarh fort,kamla nehru zoo,lalgarh palace,karni mata temple,government museum","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,avoid midday heat"
kanpur,winter,sightseeing,"warm clothes,comfortable shoes,camera,water bottle,umbrella","janaath temple,benteng park,kanpur zoo,moti jheel,bhagwan birsa sainik park","Google Maps,Ola,TripAdvisor","dress warmly,carry water,plan trips early"
allahabad,spring,cultural sightseeing,"comfortable shoes,sunscreen,hat,camera,water bottle","sangam,hannah museum,ankit gol,anand bhavan,khusro bagh","Google Maps,Ola,TripAdvisor","carry cash,wear sunscreen,carry water"
bihar sarnath,autumn,religious tourism,"comfortable shoes,umbrella,camera,water bottle","dhamek stupa,mulagandhakuti vihara,sarnath museum,char dham","Google Maps,Ola,TripAdvisor","carry water,wear comfortable shoes,avoid crowds"
hyderabad,summer,urban sightseeing,"light clothes,sunscreen,camera,hat,water bottle","charminar,goshamahal palace,necropolishussain sagar lake,landi kutta","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,use rideshare apps"
peshawar,autumn,cultural tour,"comfortable shoes,hat,camera,water bottle,sunscreen","qissa khwani bazar,bala hissar fort,mahabat khan mosque,church of england","Google Maps,Peshawar app,Careem","carry water,wear comfortable shoes,avoid crowded places"
chitwan,spring,nature and wildlife,"comfortable clothes,bug spray,camera,hat,water bottle","chitwan national park,rapti river,tiger research center,elephant breeding center","Google Maps,TripAdvisor,Pathao","carry bug spray,start early,wear comfortable clothes"
varanasi,summer,cultural tour,"light clothes,sunscreen,hat,camera,water bottle","ghats,ganga aarti,kashi vishwanath temple,assighat,dashashwamedh ghat","Google Maps,Uber,TripAdvisor","stay hydrated,wear sunscreen,carry cash"
rishikesh,autumn,spiritual and adventure,"comfortable clothes,yoga mat,sunscreen,camera,water bottle","laxman jhula,bharat mandir,triveni ghat,swarg ashram,yoga centers","Google Maps,Ola,TripAdvisor","carry water,respect customs,book yoga classes"
amritsar,winter,cultural and religious,"warm clothes,comfortable shoes,camera,water bottle","golden temple,jallianwala bagh,wagah border,durgiana temple,jallianwala park","Google Maps,Ola,TripAdvisor","dress warmly,carry water,be respectful"
bhopal,summer,historical sightseeing,"light clothes,sunscreen,camera,hat,water bottle","taj-ul-masajid,bhojpur temple,islamic museum,van vihar national park,kamal hills","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,wear sunscreen"
mandi,spring,river sightseeing,"comfortable shoes,jacket,camera,water bottle","beas river,bhasha bhai bridge,mandi fort,suketi fossil park,trilokinath temple","Google Maps,Ola,TripAdvisor","start early,carry water,wear layers"
udaipur,autumn,cultural tour,"comfortable shoes,camera,water bottle,sunscreen,hat","city palace,lake pichola,jag mandir,jagdish temple,fatehsagar lake","Google Maps,Ola,TripAdvisor","wear sunscreen,carry water,book boat rides"
islamabad,summer,sightseeing,"light clothes,sunscreen,camera,water bottle,hat","faisal mosque,daman-e-koh,monal restaurant,rawal lake,centaurus mall","Google Maps,Careem,TripAdvisor","stay hydrated,wake early,carry cash"
jaipur,summer,cultural sightseeing,"light clothes,sunscreen,camera,hat,water bottle","amber fort,hawa mahal,city palace,jantar mantar,jal mahal","Google Maps,Ola,TripAdvisor","apply sunscreen,carry water,book guided tours"
gurgaon,winter,urban sightseeing,"warm clothes,camera,comfortable shoes,water bottle","kingdom of dreams,sikanderpur metro station,ambience mall,leisure valley park,buddha park","Google Maps,Ola,TripAdvisor","dress warmly,carry water,plan transport"
goa,summer,beaches and nightlife,"swimsuit,sunscreen,hat,flip flops,camera","baga beach,calangute beach,anjuna flea market,basilica of bom jesus,titos lane","Google Maps,Ola,TripAdvisor","apply sunscreen,stay hydrated,carry cash"
srinagar,autumn,nature and culture,"jacket,comfortable shoes,camera,water bottle,scarf","dal lake,shankaracharya temple,nishat gardens,mughal gardens,pari mahal","Google Maps,Ola,TripAdvisor","wear layers,carry water,respect local customs"
leh,winter,adventure and trekking,"thermal clothes,ski gloves,jacket,camera,boots","pangong lake,thiksey monastery,nubra valley,khardung la pass,shanti stupa","Google Maps,Ola,TripAdvisor","dress warmly,carry emergency supplies,acclimatize gradually"
surat,summer,urban and cultural,"light clothes,sunscreen,camera,hat,water bottle","surat castle,dumas beach,sardar patel museum,surat science center,chintamani Jain temple","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,try local food"
pune,winter,cultural and sightseeing,"warm clothes,camera,comfortable shoes,water bottle","agar pahad,shaniwar wada,pataleshwar caves,shreemant dagdusheth halwai ganpati temple,pune okayama friendship gardens","Google Maps,Ola,TripAdvisor","dress warmly,carry water,book tours"
allahabad,summer,river and cultural,"light clothes,sunscreen,hat,camera,water bottle","sangam,hanuman mandir,khusro bagh,allahabad fort,anand bhavan","Google Maps,Ola,TripAdvisor","wear sunscreen,carry water,book boat rides"
bhutanagarh,autumn,tourism,"comfortable shoes,jacket,camera,water bottle","siliguri hq,coronation park,coronation museum,wantok park,tinamari","Google Maps,Ola,TripAdvisor","respect local culture,carry water,wear comfortable shoes"
mumbai,winter,urban sightseeing,"warm clothes,comfortable shoes,camera,water bottle","gateway of india,marine drive,elephanta caves,juhu beach,chhatrapati shivaji terminus","Google Maps,Ola,TripAdvisor","dress warmly,carry cash,stay hydrated"
karachi,summer,beach and sightseeing,"light clothes,sunscreen,hat,camera,water bottle","clifton beach,quaid-e-azam mausoleum,pakistan maritime museum,mohatta palace,itwd beach","Google Maps,Careem,TripAdvisor","apply sunscreen,avoid midday heat,stay hydrated"
shimla,winter,skiing and sightseeing,"thermal clothes,jacket,hat,camera,gloves","the ridge,mall road,christ church,jhakri falls,kufri","Google Maps,Ola,TripAdvisor","dress warmly,start hikes early,carry emergency supplies"
nagpur,summer,cultural tour,"light clothes,sunscreen,camera,hat,water bottle","deekshabhoomi,buddha mandir,ambazari lake,zero mile stone,semi arid park","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,wear hat"
allahabad,winter,sightseeing,"warm clothes,camera,comfortable shoes,water bottle,umbrella","sangam,hannah museum,ankit gol,anand bhavan,khusro bagh","Google Maps,Ola,TripAdvisor","dress warmly,carry water,plan trips early"
uddipur,summer,cultural sightseeing,"light clothes,sunscreen,camera,hat,water bottle","city palace,lake pichola,jag mandir,jagdish temple,fatehsagar lake","Google Maps,Ola,TripAdvisor","stay hydrated,wear sunscreen,book boat rides"
chandigarh,autumn,sightseeing,"comfortable shoes,jacket,camera,water bottle,umbrella","rock garden,sukhna lake,rose garden,museum and art gallery,capitol complex","Google Maps,Ola,TripAdvisor","wear layers,carry water,avoid crowds"
allahabad,spring,cultural sightseeing,"comfortable shoes,sunscreen,hat,camera,water bottle","sangam,hannah museum,ankit gol,anand bhavan,khusro bagh","Google Maps,Ola,TripAdvisor","carry cash,wear sunscreen,carry water"
jaipur,autumn,cultural sightseeing,"comfortable shoes,camera,water bottle,sunscreen,hat","amber fort,hawa mahal,city palace,jantar mantar,jal mahal","Google Maps,Ola,TripAdvisor","wear sunscreen,carry water,book guided tours"
leh,winter,adventure and trekking,"thermal clothes,ski gloves,jacket,camera,boots","pangong lake,thiksey monastery,nubra valley,khardung la pass,shanti stupa","Google Maps,Ola,TripAdvisor","dress warmly,carry emergency supplies,acclimatize gradually"
pakistan islamabad,winter,sightseeing,"warm clothes,camera,comfortable shoes,water bottle,umbrella","faisal mosque,daman-e-koh,monal restaurant,rawal lake,centaurus mall","Google Maps,Careem,TripAdvisor","dress warmly,carry water,avoid peak hours"
pakistan lahore,winter,cultural tour,"warm clothes,comfortable shoes,camera,water bottle,umbrella","badshahi mosque,lahore fort,shalimar gardens,wagah border,minar-e-pakistan","Google Maps,Careem,TripAdvisor","dress warmly,carry water,avoid peak hours"
pakistan karachi,summer,beach and sightseeing,"light clothes,sunscreen,hat,camera,water bottle","clifton beach,quaid-e-azam mausoleum,pakistan maritime museum,mohatta palace,itwd beach","Google Maps,Careem,TripAdvisor","apply sunscreen,avoid midday heat,stay hydrated"
pakistan peshawar,autumn,cultural tour,"comfortable shoes,hat,camera,water bottle,sunscreen","qissa khwani bazar,bala hissar fort,mahabat khan mosque,church of england","Google Maps,Peshawar app,Careem","carry water,wear comfortable shoes,avoid crowded places"
pakistan gujranwala,summer,cultural sightseeing,"light clothes,sunscreen,camera,hat,water bottle","shivala gujranwala,bagh-e-jinnah,chief court,ghari khata,ghas mandi","Google Maps,Careem,TripAdvisor","stay hydrated,carry cash,wear sunscreen"
nepal kathmandu,winter,cultural tour,"warm clothes,comfortable shoes,camera,water bottle,umbrella","boudhanath stupa,pashupatinath temple,thamel,durbar square,nagarkot","Google Maps,Pathao,TripAdvisor","carry water,wear sunscreen,buy local SIM"
nepal pokhara,spring,hiking and sightseeing,"hiking boots,jacket,camera,water bottle","phewa lake,devil's fall,annapurna base camp,dhampus village,peace stupa","Google Maps,TripAdvisor,Pathao","start hikes early,carry water,respsect local culture"
nepal kathmandu,spring,cultural tour,"comfortable shoes,hat,camera,water bottle,sunscreen","boudhanath stupa,pashupatinath temple,thamel,durbar square,nagarkot","Google Maps,Pathao,TripAdvisor","carry water,wear sunscreen,buy local SIM"
india varanasi,autumn,cultural tour,"comfortable shoes,sunscreen,hat,camera,water bottle","ghats of ganges,kashi vishwanath temple,dasarath ghat,assi ghat,sarnath","Google Maps,Uber,TripAdvisor","carry cash,wear comfortable shoes,be cautious near water"
india delhi,summer,sightseeing,"light clothes,sunscreen,hat,camera,water bottle","qutub minar,india gate,lotus temple,red fort,humayun's tomb","Google Maps,Uber,TripAdvisor","carry water,use public transport,avoid peak hours"
india mumbai,summer,urban sightseeing,"light clothes,sunscreen,camera,hat,water bottle","gateway of india,marine drive,elephanta caves,chhatrapati shivaji terminus,juhu beach","Google Maps,Ola,TripAdvisor","stay hydrated,carry cash,avoid crowded places"
pakistan islamabad,autumn,cultural sightseeing,"light jacket,comfortable shoes,camera,water bottle,umbrella","faisal mosque,daman-e-koh, Pakistan monument,Rawal lake,centaurus mall","Google Maps,Uber,Peshawar app","carry water,wear comfortable shoes,plan transport"
pakistan lahore,winter,cultural tour,"warm clothes,comfortable shoes,camera,water bottle,umbrella","badshahi mosque,lahore fort,shalimar gardens,wagah border,minar-e-pakistan","Google Maps,Careem,TripAdvisor","dress warmly,carry water,avoid peak hours"
